Number,Occurrences
32,1
37,1
38,1
54,2
55,2
56,1
57,1
60,1
61,1
62,1
63,1
64,3
66,2
68,1
70,2
72,1
73,1
74,2
75,2
76,2
77,2
78,1
79,3
80,1
81,1
84,2
86,2
87,3
89,1
90,3
92,1
93,3
95,7
96,1
97,1
98,3
99,1
102,3
103,1
105,2
106,2
107,3
109,1
110,2
111,1
112,2
113,3
115,2
116,2
117,4
118,2
119,3
121,2
122,3
123,3
124,1
125,2
126,1
127,4
130,2
132,2
133,1
134,1
135,1
137,2
138,2
139,5
140,2
141,2
142,2
144,4
145,3
146,4
147,2
148,2
150,3
151,3
152,3
153,2
154,3
155,1
156,2
157,1
158,1
159,1
160,2
161,3
164,5
165,1
166,1
167,1
169,2
170,1
171,2
172,2
173,1
174,2
175,3
176,3
177,2
178,3
179,4
180,2
181,2
182,1
183,1
184,2
185,2
186,3
187,1
188,3
189,1
191,3
193,4
194,1
195,4
196,1
197,3
199,2
200,3
201,6
202,2
203,3
204,2
205,2
206,2
208,2
209,1
212,1
213,6
214,5
215,3
216,1
217,6
218,1
220,2
221,2
222,1
223,3
224,1
225,4
226,2
228,1
229,2
230,2
231,3
233,2
234,3
236,1
238,4
239,2
241,2
242,1
244,1
245,1
246,1
248,4
249,2
250,4
251,3
252,5
253,2
254,2
255,4
256,2
258,5
259,2
260,1
263,4
264,1
265,3
266,2
268,1
269,3
271,3
272,4
273,2
274,2
275,2
276,2
277,5
278,4
279,2
281,6
282,1
283,1
284,2
285,3
286,3
287,3
288,2
289,4
291,3
292,1
293,2
294,1
295,2
297,1
298,1
299,3
300,1
301,1
302,1
303,2
304,6
305,1
306,1
307,1
308,1
310,1
312,4
313,2
315,1
316,1
317,2
318,3
319,1
320,2
321,3
322,2
323,2
324,3
325,3
326,4
328,3
329,6
330,3
332,1
333,3
334,2
335,3
336,3
337,1
338,4
339,1
340,3
341,2
342,3
344,2
347,1
351,5
352,1
353,1
354,1
356,3
357,1
358,2
359,4
361,1
363,1
364,1
365,3
366,2
367,1
368,4
369,1
371,1
372,1
373,1
374,3
375,1
376,4
378,3
380,2
381,2
383,1
384,2
385,4
386,3
387,4
388,4
389,1
390,2
391,2
392,4
394,1
395,1
397,3
398,2
399,4
400,3
401,1
403,2
404,1
405,1
407,1
408,1
410,2
411,1
413,2
414,1
415,1
416,1
418,1
419,2
420,1
421,1
422,1
424,1
425,1
426,2
427,2
428,3
429,1
430,1
432,1
433,1
434,1
435,1
436,1
437,1
438,3
439,1
440,1
441,1
444,1
445,1
446,3
447,2
449,2
451,3
452,1
453,2
454,2
457,2
458,1
459,1
460,2
461,1
462,1
466,1
467,1
469,1
470,1
471,2
472,2
474,1
475,1
476,3
478,6
482,2
483,1
485,1
486,2
491,2
492,1
493,1
498,3
499,2
501,2
502,1
503,2
504,2
507,2
508,1
514,1
515,1
516,1
520,1
523,1
524,1
526,1
527,2
529,1
530,1
531,1
532,2
536,2
539,1
540,2
541,1
542,1
543,1
546,1
549,1
551,1
552,1
554,2
556,2
561,1
563,1
566,1
568,2
573,1
575,1
580,1
582,1
583,1
585,1
587,1
588,1
589,1
596,1
598,1
603,1
608,1
613,1
615,1
617,2
622,1
625,1
630,1
631,1
633,1
639,1
646,1
655,2
658,2
660,1
673,1
684,1
689,1
694,1
696,1
707,1
708,1
711,1
727,1
735,1
739,2
740,1
752,1
753,1
765,1
771,1
776,1
779,1
784,1
796,1
800,1
803,1
808,1
816,1
831,1
834,2
838,1
840,1
841,1
865,1
873,1
874,1
890,1
908,1
915,2
923,1
946,1
948,1
952,1
955,1
961,1
964,1
985,1
996,1
1000,1
1023,1
1034,1
1049,1
1064,1
1102,1
1144,1
1145,1
1161,1
1175,1
1179,1
1188,1
1217,1
1299,1
1533,1
1657,1
1814,1
