0,PC1,PC2
0,0.5024995369071129,0.01145574944263781
1,0.45002743422136865,0.01564264304769919
2,0.4539910184638409,-0.04204315224982727
3,0.3460767426189209,0.07520547857977072
4,0.38496890399085626,-0.07746470466178923
5,0.29319251531697843,0.06046444918432972
6,0.35855677395604096,-0.1036526401623195
7,0.3137810758762632,0.012662408465513997
8,0.18646391733873596,0.09701446722426575
9,0.027491588336494097,0.13072666984660605
10,-0.023390664413877497,0.02087677574535749
11,-0.02085001435964959,-0.031503120922982415
12,-0.02857394102514942,-0.019876516807027
13,-0.02966462463124217,-0.026842080498050886
14,-0.0350576329364692,-0.0222172730122175
15,-0.03242445198543502,-0.030539297739102973
16,-0.024154064643920867,-0.03628461654939934
17,-0.10882180216451488,0.06020239292178751
18,-0.11477504425995992,-0.021788015704789665
19,-0.13041878713008861,-0.010020174581696625
20,-0.16065026407534028,0.005207290839438921
21,-0.19195715950716702,0.006614752879847109
22,-0.1899581939299837,-0.027401699003043557
23,-0.21901489720871867,0.005475896129286425
24,-0.19067296888674815,-0.054218669111404764
25,-0.17564370220621112,-0.03978380531514258
26,-0.192965986140346,-0.006750180878366486
27,-0.18567797440277564,-0.032617277472035515
28,-0.22765042047077141,0.0189097290771904
29,-0.3242029515822729,0.0754177472412112
30,-0.3541486674654488,0.007007581497126515
31,-0.3563752936005241,-0.01988080745287348
